TrafficLevel,IndustrialActivity,Temperature,Humidity,AQI,RespiratoryCases
medium,low,mild,high,poor,high
high,high,cold,low,poor,high
high,high,mild,medium,moderate,low
medium,medium,mild,medium,poor,high
low,medium,hot,medium,poor,medium
medium,medium,mild,high,poor,high
low,high,cold,high,poor,high
medium,high,cold,low,poor,high
low,medium,mild,high,poor,high
high,medium,cold,low,poor,medium
high,medium,mild,medium,poor,high
high,medium,hot,medium,poor,medium
low,medium,mild,low,poor,low
medium,medium,hot,medium,moderate,medium
high,high,mild,low,poor,medium
medium,medium,cold,low,poor,high
high,medium,hot,low,poor,medium
high,medium,mild,high,poor,high
medium,high,mild,low,poor,medium
medium,medium,mild,low,poor,high
high,medium,mild,medium,poor,medium
medium,medium,hot,low,poor,low
low,medium,cold,low,poor,low
low,high,hot,high,poor,high
low,medium,hot,medium,poor,medium
high,medium,hot,low,poor,medium
medium,low,cold,high,good,medium
medium,high,mild,high,poor,low
low,medium,mild,high,poor,high
low,high,hot,low,poor,medium
medium,medium,cold,medium,poor,high
medium,low,hot,medium,poor,medium
medium,high,cold,low,poor,high
low,medium,mild,medium,poor,high
medium,low,cold,high,good,low
high,medium,mild,medium,poor,high
medium,low,mild,medium,poor,low
low,medium,mild,low,poor,high
medium,medium,cold,low,poor,high
medium,medium,mild,high,poor,medium
low,medium,hot,low,poor,high
low,low,cold,medium,good,low
medium,medium,cold,medium,poor,high
high,low,hot,medium,poor,high
medium,low,mild,medium,poor,high
high,medium,cold,medium,poor,high
medium,high,mild,medium,poor,high
medium,high,cold,high,poor,medium
low,medium,mild,low,moderate,low
medium,medium,mild,medium,poor,high
medium,medium,cold,low,poor,high
low,low,cold,high,moderate,low
medium,medium,mild,low,poor,high
medium,low,mild,low,poor,medium
medium,medium,mild,high,poor,high
medium,medium,hot,low,poor,high
medium,medium,mild,high,poor,high
medium,high,cold,low,poor,high
high,medium,cold,medium,poor,medium
medium,low,hot,medium,poor,medium
medium,low,hot,high,poor,medium
high,medium,cold,medium,poor,low
low,high,cold,low,poor,high
medium,high,mild,low,poor,high
low,medium,mild,low,good,low
high,medium,hot,low,poor,medium
low,medium,hot,high,poor,medium
high,medium,cold,high,poor,medium
medium,medium,mild,medium,poor,medium
medium,medium,mild,low,poor,high
high,high,hot,medium,poor,high
medium,medium,mild,low,poor,high
low,medium,cold,low,moderate,medium
medium,medium,mild,medium,poor,high
medium,low,cold,medium,poor,medium
low,high,hot,medium,poor,high
high,high,cold,high,poor,medium
medium,medium,hot,low,poor,high
high,low,mild,medium,moderate,high
high,low,cold,low,poor,medium
medium,medium,mild,low,poor,high
high,medium,cold,low,poor,medium
high,medium,cold,high,poor,medium
medium,medium,mild,low,poor,high
medium,low,mild,low,poor,high
low,low,hot,low,poor,medium
medium,medium,hot,high,poor,high
low,medium,mild,high,poor,high
medium,high,hot,low,poor,high
low,low,cold,medium,good,low
low,high,hot,medium,poor,high
low,medium,mild,low,poor,high
medium,medium,hot,low,poor,high
medium,low,mild,medium,poor,high
medium,low,mild,low,poor,high
medium,medium,mild,low,poor,high
medium,low,mild,medium,moderate,low
high,low,hot,medium,poor,low
high,medium,mild,medium,poor,high
medium,medium,hot,medium,poor,medium
high,medium,mild,medium,poor,high
low,medium,mild,medium,poor,high
medium,low,cold,medium,poor,high
high,medium,mild,medium,poor,low
high,medium,cold,low,poor,high
medium,high,mild,medium,moderate,low
high,medium,mild,low,poor,low
low,medium,mild,high,moderate,low
medium,high,cold,low,poor,high
medium,high,hot,medium,poor,high
low,high,mild,low,poor,medium
medium,medium,mild,high,poor,high
medium,medium,hot,low,poor,medium
high,medium,mild,low,poor,high
high,medium,hot,medium,poor,medium
high,medium,hot,high,poor,high
medium,medium,cold,medium,good,low
low,low,mild,medium,poor,medium
medium,low,mild,medium,poor,high
medium,medium,mild,medium,poor,low
medium,medium,mild,low,moderate,high
medium,low,mild,medium,poor,low
low,high,cold,low,poor,high
low,low,cold,low,poor,high
medium,high,mild,low,poor,high
high,low,mild,medium,poor,medium
medium,high,mild,medium,moderate,low
medium,high,mild,medium,poor,medium
medium,medium,hot,medium,poor,medium
high,low,hot,low,poor,high
medium,medium,mild,medium,poor,medium
high,high,mild,high,poor,high
medium,medium,mild,medium,poor,high
medium,low,hot,medium,poor,medium
medium,high,mild,medium,poor,high
high,medium,cold,medium,poor,high
medium,medium,cold,high,poor,high
medium,medium,mild,medium,poor,medium
high,medium,cold,medium,poor,high
medium,low,mild,low,poor,medium
low,medium,mild,medium,poor,medium
low,medium,cold,medium,poor,high
high,high,hot,low,poor,high
high,high,hot,low,poor,high
low,medium,cold,medium,moderate,medium
medium,high,mild,medium,poor,high
low,medium,mild,low,poor,high
low,high,hot,high,poor,high
medium,medium,cold,low,poor,high
low,low,mild,low,poor,medium
low,medium,mild,low,poor,high
medium,low,mild,high,moderate,low
medium,medium,mild,low,poor,high
low,medium,mild,low,poor,high
medium,low,cold,medium,good,high
low,medium,mild,medium,moderate,medium
low,high,cold,high,poor,medium
medium,low,hot,medium,poor,high
low,high,cold,medium,poor,high
low,medium,mild,medium,good,low
low,medium,cold,medium,moderate,high
high,medium,mild,low,moderate,low
medium,medium,hot,low,poor,high
medium,medium,mild,medium,poor,high
medium,low,mild,medium,moderate,medium
high,high,cold,high,poor,high
medium,high,mild,low,poor,high
low,high,mild,medium,moderate,medium
low,low,mild,medium,moderate,low
medium,low,hot,medium,poor,high
low,high,mild,medium,poor,low
high,medium,mild,low,poor,high
medium,medium,cold,medium,poor,high
medium,medium,mild,high,moderate,medium
medium,medium,mild,high,poor,high
medium,low,cold,medium,moderate,medium
medium,medium,mild,low,moderate,medium
medium,medium,mild,medium,poor,medium
low,high,cold,low,poor,medium
medium,low,cold,medium,moderate,medium
medium,medium,mild,low,poor,high
low,medium,hot,high,poor,high
low,medium,mild,low,poor,high
medium,medium,hot,medium,poor,high
high,low,hot,medium,poor,high
medium,low,hot,medium,poor,medium
medium,medium,mild,medium,poor,high
medium,high,cold,low,poor,high
high,low,cold,high,moderate,medium
medium,high,cold,low,poor,high
medium,medium,mild,high,poor,high
low,low,mild,high,good,low
medium,low,mild,medium,poor,high
medium,medium,mild,medium,poor,medium
low,low,cold,medium,poor,high
medium,medium,mild,low,poor,medium
medium,high,cold,low,poor,medium
high,medium,hot,medium,poor,high
medium,medium,cold,medium,poor,high
medium,medium,cold,medium,poor,high
high,low,hot,low,poor,high
low,medium,cold,low,poor,high
high,medium,mild,low,good,low
medium,medium,mild,medium,poor,medium
low,high,mild,high,moderate,high
low,low,hot,low,poor,medium
medium,high,mild,medium,poor,high
medium,medium,mild,low,poor,high
low,medium,mild,medium,poor,high
high,medium,cold,medium,poor,high
high,medium,hot,medium,poor,high
medium,high,mild,low,poor,high
low,low,mild,low,moderate,low
low,medium,mild,low,poor,high
low,low,cold,high,moderate,medium
medium,medium,mild,medium,good,low
medium,medium,mild,low,poor,high
high,medium,hot,medium,poor,high
medium,medium,mild,high,moderate,low
high,medium,mild,medium,poor,high
medium,medium,mild,high,moderate,high
low,medium,hot,medium,poor,high
medium,medium,hot,medium,poor,high
low,low,mild,medium,moderate,high
low,medium,cold,medium,good,high
low,high,mild,high,poor,high
low,medium,hot,low,moderate,medium
high,medium,mild,low,good,medium
low,medium,hot,low,poor,medium
medium,low,mild,low,poor,high
low,medium,mild,medium,moderate,medium
low,medium,cold,medium,moderate,high
high,low,mild,low,poor,high
medium,medium,mild,low,moderate,medium
medium,medium,cold,low,poor,low
medium,high,hot,medium,poor,low
high,low,hot,medium,poor,high
low,medium,mild,low,poor,high
medium,low,hot,low,poor,medium
low,low,hot,low,moderate,low
medium,high,mild,low,poor,medium
low,medium,cold,medium,moderate,high
high,medium,mild,low,poor,high
medium,high,hot,low,poor,medium
low,medium,cold,high,good,low
medium,medium,mild,high,poor,high
low,medium,hot,medium,poor,high
low,low,mild,medium,poor,medium
medium,medium,mild,low,poor,medium
low,low,cold,medium,good,high
low,medium,mild,low,poor,low
high,high,mild,medium,poor,high
medium,low,cold,medium,poor,high
low,high,cold,low,poor,high
low,medium,hot,medium,poor,high
medium,medium,mild,high,poor,medium
low,high,cold,high,moderate,medium
medium,medium,hot,medium,poor,low
low,medium,mild,low,moderate,medium
medium,medium,cold,low,poor,medium
high,high,hot,low,poor,high
medium,medium,mild,low,poor,high
medium,medium,mild,medium,poor,medium
medium,low,mild,medium,poor,medium
high,low,mild,low,poor,high
medium,high,cold,low,poor,high
low,medium,mild,low,poor,low
medium,high,hot,medium,poor,high
medium,low,hot,medium,poor,high
low,medium,mild,low,poor,high
medium,medium,hot,high,poor,medium
low,medium,cold,low,moderate,medium
high,low,mild,medium,moderate,high
medium,medium,hot,low,poor,low
high,medium,mild,low,poor,high
medium,medium,mild,high,poor,high
high,medium,cold,medium,poor,medium
medium,high,mild,medium,poor,medium
medium,low,mild,high,moderate,high
high,medium,cold,medium,poor,medium
medium,low,hot,low,moderate,low
high,medium,hot,low,poor,medium
medium,medium,mild,low,poor,medium
high,low,mild,low,poor,high
medium,medium,mild,medium,poor,medium
medium,medium,mild,medium,poor,medium
low,low,mild,medium,poor,high
low,high,hot,medium,poor,high
medium,high,cold,low,poor,high
high,high,mild,low,poor,high
low,medium,mild,medium,poor,high
high,medium,mild,low,poor,medium
low,medium,mild,medium,good,low
low,low,cold,high,poor,medium
medium,medium,hot,low,poor,medium
medium,high,mild,low,poor,high
medium,medium,hot,low,poor,high
medium,medium,mild,high,moderate,high
medium,low,mild,low,poor,high
high,low,mild,medium,poor,high
low,medium,mild,low,poor,high
medium,medium,mild,low,poor,high
low,low,cold,low,good,high
low,low,cold,high,moderate,medium
high,medium,mild,low,poor,high
medium,medium,mild,low,poor,high
high,medium,mild,low,poor,medium
medium,low,cold,medium,good,low
medium,medium,mild,low,poor,high
high,low,cold,high,poor,high
medium,low,mild,medium,moderate,medium
medium,medium,cold,medium,poor,high
medium,low,mild,medium,good,low
medium,medium,cold,medium,poor,high
high,high,cold,medium,poor,high
low,high,mild,medium,moderate,low
medium,low,hot,low,poor,high
medium,medium,mild,low,moderate,medium
medium,medium,mild,medium,poor,low
medium,high,hot,low,poor,high
medium,low,cold,medium,poor,high
low,low,hot,high,poor,high
low,high,hot,low,poor,medium
low,medium,cold,low,poor,high
medium,medium,cold,medium,poor,medium
high,medium,hot,medium,poor,high
low,medium,cold,high,good,medium
high,medium,mild,medium,poor,high
medium,medium,hot,medium,poor,high
high,medium,cold,medium,poor,high
high,low,mild,medium,poor,low
high,medium,cold,low,poor,high
low,low,hot,low,moderate,medium
medium,medium,mild,medium,poor,medium
low,medium,mild,medium,poor,high
low,medium,mild,medium,poor,medium
medium,high,mild,medium,poor,high
medium,low,mild,low,poor,high
medium,medium,mild,medium,poor,high
medium,high,mild,medium,poor,medium
low,medium,mild,low,poor,high
medium,medium,cold,low,poor,high
medium,low,mild,low,moderate,low
low,medium,cold,high,moderate,low
low,medium,cold,high,poor,medium
medium,low,mild,medium,moderate,low
medium,medium,cold,medium,poor,high
low,medium,mild,low,poor,high
high,low,mild,low,poor,high
high,high,mild,high,poor,medium
medium,medium,mild,low,poor,medium
medium,low,hot,medium,moderate,medium
medium,high,cold,low,poor,high
medium,medium,cold,medium,moderate,low
high,low,mild,high,moderate,high
high,medium,cold,low,poor,high
low,high,cold,medium,good,low
high,medium,cold,medium,poor,high
medium,medium,hot,high,poor,high
medium,medium,cold,medium,poor,low
medium,medium,mild,medium,poor,low
medium,medium,mild,low,poor,high
medium,high,mild,medium,poor,high
medium,medium,hot,low,poor,medium
high,low,mild,medium,poor,high
low,medium,hot,high,moderate,high
medium,high,mild,medium,poor,high
medium,medium,mild,low,poor,medium
high,low,mild,low,poor,medium
low,medium,hot,low,poor,high
high,medium,mild,medium,poor,low
medium,high,mild,medium,poor,high
medium,medium,mild,medium,poor,medium
medium,medium,mild,low,poor,high
medium,high,hot,low,poor,high
high,low,cold,low,poor,medium
medium,high,cold,medium,poor,high
low,medium,mild,low,good,low
low,high,hot,medium,poor,high
high,medium,mild,low,poor,high
medium,low,mild,low,moderate,medium
low,medium,mild,medium,poor,medium
low,high,mild,medium,good,low
medium,medium,mild,low,poor,high
high,low,mild,low,moderate,medium
low,medium,mild,low,good,medium
low,medium,mild,medium,moderate,low
low,low,mild,medium,good,low
medium,medium,hot,medium,poor,high
high,high,mild,low,poor,high
medium,medium,cold,medium,poor,medium
medium,medium,hot,high,poor,high
high,medium,mild,medium,poor,high
high,medium,mild,low,poor,medium
low,medium,mild,medium,poor,high
medium,low,cold,medium,poor,high
medium,low,mild,medium,moderate,low
low,low,mild,low,moderate,low
high,high,cold,low,poor,high
low,medium,mild,high,good,medium
medium,low,mild,low,poor,medium
medium,medium,hot,low,poor,medium
medium,medium,cold,high,moderate,medium
medium,medium,mild,medium,moderate,medium
high,low,cold,medium,poor,high
low,medium,cold,medium,poor,medium
medium,high,mild,high,poor,high
low,low,cold,medium,poor,high
medium,medium,mild,low,poor,high
low,high,cold,low,poor,high
medium,medium,mild,low,poor,high
medium,medium,hot,low,poor,high
high,low,mild,high,poor,high
low,medium,hot,medium,poor,low
high,medium,cold,medium,poor,medium
low,low,mild,medium,moderate,high
high,medium,cold,medium,poor,high
medium,medium,hot,low,poor,low
high,low,cold,low,poor,medium
medium,medium,cold,low,poor,high
medium,medium,mild,low,poor,high
high,medium,cold,low,poor,high
low,high,mild,high,poor,high
medium,medium,mild,medium,poor,high
medium,medium,hot,low,poor,high
medium,high,mild,medium,poor,low
medium,high,cold,medium,poor,medium
low,high,mild,low,poor,high
medium,medium,cold,high,poor,high
medium,medium,hot,high,poor,high
medium,high,cold,medium,poor,high
low,medium,mild,low,poor,high
medium,high,mild,medium,poor,low
medium,medium,mild,medium,poor,medium
low,medium,mild,low,poor,high
medium,medium,mild,low,poor,high
medium,medium,cold,medium,poor,high
high,medium,mild,low,poor,high
low,medium,cold,high,good,medium
high,medium,mild,medium,poor,high
medium,medium,mild,medium,poor,high
low,low,mild,low,good,medium
low,medium,mild,high,poor,high
medium,medium,mild,low,poor,high
medium,medium,mild,high,poor,high
low,high,mild,low,poor,high
high,medium,mild,low,poor,high
high,medium,hot,medium,moderate,medium
medium,high,hot,low,poor,medium
high,high,hot,low,poor,high
low,medium,cold,low,poor,high
medium,medium,mild,medium,poor,high
medium,medium,mild,medium,poor,high
medium,low,mild,high,moderate,medium
medium,low,mild,medium,poor,high
low,low,hot,low,poor,high
medium,medium,cold,low,moderate,high
low,medium,hot,medium,poor,high
medium,medium,mild,high,poor,high
high,medium,mild,high,poor,high
medium,medium,mild,high,poor,high
medium,medium,hot,medium,poor,high
medium,medium,mild,low,poor,high
medium,medium,mild,medium,poor,high
medium,medium,cold,medium,moderate,low
high,medium,mild,medium,poor,high
medium,medium,hot,high,poor,medium
low,medium,mild,high,good,low
low,low,cold,medium,moderate,low
medium,medium,cold,medium,poor,high
medium,low,hot,high,poor,low
high,high,hot,low,poor,high
medium,medium,hot,medium,poor,high
high,low,mild,medium,poor,high
high,high,cold,medium,moderate,medium
medium,high,hot,low,poor,high
medium,medium,hot,high,poor,high
medium,medium,mild,low,poor,high
medium,medium,cold,low,poor,high
medium,medium,mild,medium,poor,high
medium,medium,cold,low,moderate,medium
low,medium,hot,low,poor,medium
medium,low,mild,medium,poor,high
high,low,mild,low,poor,medium
medium,medium,mild,low,poor,high
low,medium,cold,low,poor,high
medium,low,hot,medium,poor,high
medium,medium,mild,medium,poor,high
high,high,hot,high,poor,medium
low,medium,hot,medium,poor,medium
low,medium,cold,low,moderate,medium
medium,medium,mild,low,poor,high
medium,medium,cold,high,poor,high
low,high,hot,low,poor,high
medium,medium,mild,medium,poor,medium
medium,high,mild,medium,poor,high
high,medium,cold,high,poor,high
medium,high,cold,low,poor,medium
low,medium,hot,low,poor,high
medium,high,mild,low,poor,high
medium,high,hot,medium,poor,medium
low,high,cold,low,poor,high
high,medium,cold,low,poor,high
medium,high,hot,low,poor,high
high,high,cold,medium,poor,low
low,medium,mild,low,poor,medium
medium,medium,cold,medium,moderate,medium
low,medium,cold,medium,poor,medium
medium,low,mild,low,poor,high
high,medium,mild,medium,poor,high
low,high,mild,high,poor,medium
medium,medium,mild,low,poor,medium
low,medium,cold,low,moderate,medium
medium,low,hot,medium,poor,high
medium,medium,cold,low,poor,medium
medium,high,mild,low,poor,low
medium,medium,hot,high,poor,high
medium,medium,mild,medium,poor,medium
high,high,hot,high,poor,medium
low,medium,mild,high,poor,high
low,low,cold,low,moderate,low
medium,low,mild,medium,poor,high
high,medium,mild,medium,poor,high
medium,medium,cold,medium,poor,medium
medium,medium,cold,medium,poor,medium
medium,medium,mild,low,poor,high
high,medium,cold,medium,poor,medium
high,high,cold,high,poor,high
medium,medium,mild,medium,good,low
low,medium,mild,medium,moderate,low
low,low,mild,high,good,medium
medium,medium,mild,high,moderate,medium
medium,medium,hot,low,poor,high
medium,medium,mild,high,poor,high
medium,low,cold,low,poor,high
medium,medium,cold,low,poor,high
low,low,hot,high,good,low
medium,medium,mild,low,poor,high
low,medium,mild,low,poor,high
low,medium,cold,low,poor,high
high,medium,cold,medium,poor,medium
high,low,hot,high,poor,high
medium,low,mild,low,poor,high
medium,medium,mild,high,good,low
low,medium,cold,medium,moderate,low
high,low,mild,low,poor,high
medium,low,mild,medium,poor,high
medium,medium,mild,low,poor,medium
medium,medium,hot,low,poor,high
medium,medium,mild,low,poor,high
low,medium,mild,medium,poor,high
medium,low,mild,medium,poor,medium
medium,medium,mild,low,poor,high
medium,medium,mild,low,poor,high
high,medium,mild,high,poor,high
low,medium,mild,high,poor,medium
medium,high,mild,low,good,low
medium,medium,cold,high,moderate,low
medium,medium,cold,low,poor,high
medium,medium,mild,medium,moderate,high
high,medium,cold,low,poor,high
medium,medium,mild,medium,poor,low
medium,medium,cold,low,poor,high
low,medium,hot,low,moderate,high
medium,low,mild,medium,moderate,low
low,high,cold,medium,poor,medium
high,high,hot,low,poor,high
high,low,hot,low,poor,high
medium,medium,mild,high,poor,high
medium,medium,mild,high,poor,high
low,medium,mild,low,poor,high
low,medium,mild,medium,poor,high
medium,high,hot,low,poor,high
medium,medium,mild,medium,poor,high
low,high,mild,medium,poor,high
medium,medium,mild,low,poor,high
medium,low,mild,medium,poor,high
medium,medium,mild,high,moderate,high
low,low,hot,low,poor,high
high,high,mild,medium,poor,high
high,medium,mild,medium,poor,high
low,medium,hot,medium,moderate,medium
medium,low,hot,medium,poor,high
medium,low,mild,low,poor,medium
low,medium,mild,low,poor,medium
low,medium,mild,medium,poor,high
medium,high,cold,medium,poor,high
low,medium,mild,low,poor,high
medium,low,mild,medium,poor,low
low,medium,cold,medium,poor,high
high,low,cold,low,poor,high
low,medium,mild,high,good,low
low,medium,mild,high,poor,high
medium,low,mild,high,poor,high
high,low,cold,low,poor,medium
medium,medium,hot,medium,poor,medium
low,medium,mild,low,poor,medium
medium,medium,mild,medium,poor,medium
low,medium,mild,medium,poor,medium
medium,medium,mild,medium,poor,high
medium,low,mild,low,moderate,high
high,low,mild,low,poor,high
high,medium,mild,medium,poor,high
high,medium,mild,low,moderate,high
medium,medium,mild,high,moderate,high
high,high,mild,low,poor,high
low,medium,mild,high,good,low
medium,medium,hot,medium,poor,high
medium,low,cold,low,good,low
low,low,hot,low,poor,medium
high,high,mild,medium,moderate,high
high,high,mild,low,poor,medium
medium,low,hot,low,poor,high
medium,medium,cold,low,poor,high
high,medium,hot,medium,poor,high
medium,medium,mild,low,poor,low
medium,medium,cold,medium,poor,high
medium,high,hot,high,poor,high
high,medium,cold,medium,moderate,high
medium,medium,mild,medium,good,low
medium,medium,hot,low,poor,medium
medium,high,hot,low,poor,high
low,low,hot,medium,poor,high
medium,medium,mild,medium,poor,medium
low,low,mild,medium,good,low
low,medium,cold,medium,good,low
high,medium,cold,high,poor,high
medium,medium,hot,low,poor,high
low,low,cold,medium,moderate,medium
low,medium,hot,low,poor,high
medium,medium,hot,low,poor,medium
low,low,hot,medium,moderate,low
high,high,mild,medium,poor,high
high,low,mild,low,poor,high
medium,low,mild,low,moderate,low
medium,medium,mild,medium,poor,high
medium,medium,mild,medium,poor,high
low,low,mild,low,good,medium
low,high,mild,medium,poor,medium
medium,low,mild,low,moderate,low
medium,low,cold,medium,poor,high
low,medium,hot,medium,poor,high
medium,low,mild,medium,poor,medium
low,medium,mild,medium,moderate,low
medium,medium,hot,medium,poor,high
medium,medium,hot,low,poor,medium
medium,medium,mild,high,moderate,medium
high,low,mild,low,moderate,medium
high,low,mild,medium,poor,medium
medium,medium,mild,high,poor,low
medium,medium,mild,medium,poor,high
high,low,hot,medium,poor,high
medium,medium,mild,low,poor,high
low,low,mild,low,poor,medium
medium,low,mild,medium,poor,high
high,medium,cold,high,poor,high
low,high,mild,medium,poor,medium
high,medium,hot,low,poor,medium
medium,medium,mild,low,poor,medium
medium,medium,hot,low,poor,medium
medium,medium,mild,high,poor,high
low,medium,cold,medium,moderate,medium
medium,high,cold,medium,poor,high
high,medium,mild,high,poor,high
medium,medium,cold,high,poor,medium
medium,medium,cold,medium,poor,high
high,high,cold,low,poor,high
medium,medium,mild,high,poor,high
high,medium,cold,medium,poor,high
medium,medium,mild,high,poor,medium
low,high,hot,high,poor,high
medium,medium,cold,medium,poor,high
medium,medium,cold,low,poor,medium
high,low,mild,medium,poor,medium
medium,medium,cold,low,poor,high
medium,low,mild,medium,moderate,medium
medium,medium,hot,high,poor,high
low,high,cold,low,poor,high
high,medium,mild,medium,poor,high
medium,medium,hot,high,poor,high
medium,medium,mild,high,poor,high
high,high,hot,medium,poor,high
low,medium,mild,medium,poor,high
low,medium,mild,low,poor,high
medium,high,hot,low,poor,high
low,low,mild,low,moderate,medium
medium,medium,cold,high,good,medium
medium,medium,cold,low,poor,medium
medium,low,mild,medium,moderate,low
low,low,mild,low,poor,high
medium,medium,mild,low,poor,high
medium,medium,mild,medium,poor,high
medium,medium,mild,medium,poor,high
medium,medium,mild,low,poor,low
medium,medium,hot,low,poor,high
medium,low,mild,medium,good,low
medium,medium,hot,medium,poor,high
low,low,mild,medium,moderate,medium
medium,medium,cold,high,moderate,high
low,high,cold,low,moderate,medium
high,medium,hot,medium,poor,high
low,medium,hot,high,poor,high
low,high,mild,high,poor,high
medium,medium,cold,high,poor,medium
medium,medium,mild,low,poor,high
medium,medium,cold,medium,moderate,low
medium,high,mild,low,poor,high
medium,high,mild,medium,poor,high
medium,medium,hot,high,poor,medium
medium,medium,mild,high,poor,high
high,medium,cold,medium,poor,high
low,medium,mild,high,moderate,medium
medium,medium,mild,high,poor,high
low,low,hot,high,poor,high
high,high,hot,medium,poor,high
medium,medium,mild,medium,poor,low
high,medium,mild,low,good,low
medium,low,hot,low,poor,medium
low,medium,hot,medium,moderate,low
medium,high,cold,medium,poor,medium
medium,low,hot,low,poor,medium
high,low,hot,high,poor,high
medium,medium,cold,medium,moderate,high
low,medium,mild,medium,poor,medium
medium,medium,hot,medium,poor,low
low,low,cold,low,poor,medium
medium,high,mild,low,poor,high
low,medium,mild,high,poor,high
medium,medium,hot,medium,poor,medium
low,medium,cold,medium,poor,high
high,high,mild,low,poor,high
medium,medium,cold,medium,moderate,medium
medium,medium,cold,medium,poor,medium
medium,medium,mild,low,poor,high
medium,medium,mild,low,poor,low
medium,medium,hot,low,poor,high
high,medium,mild,low,poor,low
medium,medium,hot,low,poor,medium
low,medium,mild,low,poor,medium
medium,high,cold,high,poor,medium
low,medium,hot,medium,poor,high
low,high,mild,medium,poor,high
low,medium,mild,low,poor,medium
medium,medium,cold,high,poor,high
low,low,mild,low,poor,high
medium,high,mild,medium,poor,high
high,medium,cold,high,poor,high
high,low,mild,low,poor,high
low,medium,mild,low,poor,high
high,medium,cold,medium,moderate,high
low,medium,mild,low,good,low
medium,medium,hot,low,poor,high
low,high,mild,low,poor,high
medium,medium,cold,low,poor,medium
high,low,hot,low,poor,medium
low,medium,cold,low,poor,high
medium,medium,mild,medium,poor,high
high,medium,cold,medium,poor,high
high,low,cold,medium,poor,medium
medium,medium,mild,low,poor,medium
high,medium,mild,high,poor,high
low,medium,mild,low,poor,medium
low,low,mild,medium,moderate,medium
medium,medium,cold,high,moderate,high
low,medium,cold,low,poor,high
medium,medium,mild,high,poor,high
medium,medium,hot,low,poor,high
medium,low,mild,high,moderate,medium
medium,medium,hot,medium,poor,high
medium,medium,hot,low,poor,medium
low,low,hot,medium,poor,high
high,medium,hot,low,poor,high
low,medium,mild,low,poor,high
low,high,mild,high,poor,high
medium,medium,hot,low,poor,high
medium,high,mild,high,poor,low
high,medium,mild,medium,poor,high
high,low,mild,low,poor,high
medium,high,mild,low,poor,high
medium,medium,hot,medium,poor,high
low,medium,mild,low,good,low
medium,high,hot,low,poor,high
low,medium,hot,low,poor,high
low,low,cold,low,moderate,medium
low,high,mild,low,poor,high
medium,medium,cold,high,poor,high
medium,medium,mild,low,poor,high
medium,medium,hot,medium,moderate,medium
medium,medium,mild,high,poor,high
low,high,hot,low,poor,medium
medium,medium,mild,medium,poor,medium
low,medium,mild,high,poor,high
medium,medium,mild,low,poor,high
low,medium,hot,low,poor,high
medium,medium,mild,medium,poor,medium
medium,high,mild,high,poor,high
low,medium,cold,medium,poor,high
high,high,cold,medium,poor,high
high,medium,hot,low,poor,high
low,medium,hot,medium,poor,high
low,medium,mild,low,poor,high
high,medium,hot,medium,poor,high
medium,low,mild,high,poor,high
medium,high,cold,medium,poor,high
medium,low,cold,medium,good,low
high,medium,mild,high,poor,high
medium,medium,hot,high,poor,medium
low,medium,cold,medium,poor,low
high,medium,mild,medium,poor,high
low,medium,hot,high,poor,high
medium,high,mild,medium,poor,high
low,medium,cold,medium,poor,high
medium,medium,cold,high,moderate,medium
low,medium,mild,low,poor,high
medium,medium,hot,high,poor,high
low,medium,hot,low,poor,high
